Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;25,00;0,00;0,00;0,00;0,00;100,00
0,00;50,00;0,00;0,00;0,00;0,00;200,00
0,00;75,00;0,00;0,00;0,00;0,00;300,00
0,00;100,00;0,00;0,00;0,00;0,00;400,00
0,00;125,00;0,00;0,00;0,00;0,00;500,00
0,00;150,00;0,00;0,00;0,00;0,00;600,00
0,00;175,00;0,00;0,00;0,00;0,00;700,00
0,00;200,00;0,00;0,00;0,00;0,00;800,00
0,00;225,00;0,00;0,00;0,00;0,00;900,00
0,00;250,00;0,00;0,00;0,00;0,00;1000,00
0,00;275,00;0,00;0,00;0,00;0,00;1100,00
0,00;300,00;0,00;0,00;0,00;0,00;1200,00
0,00;325,00;0,00;0,00;0,00;0,00;1300,00
0,00;350,00;0,00;0,00;0,00;0,00;1400,00
0,00;375,00;0,00;0,00;0,00;0,00;1500,00
0,00;400,00;0,00;0,00;0,00;0,00;1600,00
0,00;425,00;0,00;0,00;0,00;0,00;1700,00
0,00;450,00;0,00;0,00;0,00;0,00;1800,00
0,00;475,00;0,00;0,00;0,00;0,00;1900,00
0,00;500,00;0,00;0,00;0,00;0,00;2000,00
