Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;5,00;0,00;0,00;0,00;0,00;20,00
0,00;10,00;0,00;0,00;0,00;0,00;40,00
0,00;15,00;0,00;0,00;0,00;0,00;60,00
0,00;20,00;0,00;0,00;0,00;0,00;80,00
0,00;25,00;0,00;0,00;0,00;0,00;100,00
0,00;30,00;0,00;0,00;0,00;0,00;120,00
0,00;35,00;0,00;0,00;0,00;0,00;140,00
0,00;40,00;0,00;0,00;0,00;0,00;160,00
0,00;45,00;0,00;0,00;0,00;0,00;180,00
0,00;50,00;0,00;0,00;0,00;0,00;200,00
0,00;55,00;0,00;0,00;0,00;0,00;220,00
0,00;60,00;0,00;0,00;0,00;0,00;240,00
0,00;65,00;0,00;0,00;0,00;0,00;260,00
0,00;70,00;0,00;0,00;0,00;0,00;280,00
0,00;75,00;0,00;0,00;0,00;0,00;300,00
0,00;80,00;0,00;0,00;0,00;0,00;320,00
0,00;85,00;0,00;0,00;0,00;0,00;340,00
0,00;90,00;0,00;0,00;0,00;0,00;360,00
0,00;95,00;0,00;0,00;0,00;0,00;380,00
0,00;100,00;0,00;0,00;0,00;0,00;400,00
0,00;105,00;0,00;0,00;0,00;0,00;420,00
0,00;110,00;0,00;0,00;0,00;0,00;440,00
0,00;115,00;0,00;0,00;0,00;0,00;460,00
0,00;120,00;0,00;0,00;0,00;0,00;480,00
0,00;125,00;0,00;0,00;0,00;0,00;500,00
0,00;130,00;0,00;0,00;0,00;0,00;520,00
0,00;135,00;0,00;0,00;0,00;0,00;540,00
0,00;140,00;0,00;0,00;0,00;0,00;560,00
0,00;145,00;0,00;0,00;0,00;0,00;580,00
0,00;150,00;0,00;0,00;0,00;0,00;600,00
0,00;155,00;0,00;0,00;0,00;0,00;620,00
0,00;160,00;0,00;0,00;0,00;0,00;640,00
0,00;165,00;0,00;0,00;0,00;0,00;660,00
0,00;170,00;0,00;0,00;0,00;0,00;680,00
0,00;175,00;0,00;0,00;0,00;0,00;700,00
0,00;180,00;0,00;0,00;0,00;0,00;720,00
0,00;185,00;0,00;0,00;0,00;0,00;740,00
0,00;190,00;0,00;0,00;0,00;0,00;760,00
0,00;195,00;0,00;0,00;0,00;0,00;780,00
0,00;200,00;0,00;0,00;0,00;0,00;800,00
0,00;205,00;0,00;0,00;0,00;0,00;820,00
0,00;210,00;0,00;0,00;0,00;0,00;840,00
0,00;215,00;0,00;0,00;0,00;0,00;860,00
0,00;220,00;0,00;0,00;0,00;0,00;880,00
0,00;225,00;0,00;0,00;0,00;0,00;900,00
0,00;230,00;0,00;0,00;0,00;0,00;920,00
0,00;235,00;0,00;0,00;0,00;0,00;940,00
0,00;240,00;0,00;0,00;0,00;0,00;960,00
