Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;245,00;0,00;0,00;0,00;0,00;980,00
0,00;250,00;0,00;0,00;0,00;0,00;1000,00
0,00;255,00;0,00;0,00;0,00;0,00;1020,00
0,00;260,00;0,00;0,00;0,00;0,00;1040,00
0,00;265,00;0,00;0,00;0,00;0,00;1060,00
0,00;270,00;0,00;0,00;0,00;0,00;1080,00
0,00;275,00;0,00;0,00;0,00;0,00;1100,00
0,00;280,00;0,00;0,00;0,00;0,00;1120,00
0,00;285,00;0,00;0,00;0,00;0,00;1140,00
0,00;290,00;0,00;0,00;0,00;0,00;1160,00
0,00;295,00;0,00;0,00;0,00;0,00;1180,00
0,00;300,00;0,00;0,00;0,00;0,00;1200,00
0,00;305,00;0,00;0,00;0,00;0,00;1220,00
0,00;310,00;0,00;0,00;0,00;0,00;1240,00
0,00;315,00;0,00;0,00;0,00;0,00;1260,00
0,00;320,00;0,00;0,00;0,00;0,00;1280,00
0,00;325,00;0,00;0,00;0,00;0,00;1300,00
0,00;330,00;0,00;0,00;0,00;0,00;1320,00
0,00;335,00;0,00;0,00;0,00;0,00;1340,00
0,00;340,00;0,00;0,00;0,00;0,00;1360,00
0,00;345,00;0,00;0,00;0,00;0,00;1380,00
0,00;350,00;0,00;0,00;0,00;0,00;1400,00
0,00;355,00;0,00;0,00;0,00;0,00;1420,00
0,00;360,00;0,00;0,00;0,00;0,00;1440,00
0,00;365,00;0,00;0,00;0,00;0,00;1460,00
0,00;370,00;0,00;0,00;0,00;0,00;1480,00
0,00;375,00;0,00;0,00;0,00;0,00;1500,00
0,00;380,00;0,00;0,00;0,00;0,00;1520,00
0,00;385,00;0,00;0,00;0,00;0,00;1540,00
0,00;390,00;0,00;0,00;0,00;0,00;1560,00
0,00;395,00;0,00;0,00;0,00;0,00;1580,00
0,00;400,00;0,00;0,00;0,00;0,00;1600,00
0,00;405,00;0,00;0,00;0,00;0,00;1620,00
0,00;410,00;0,00;0,00;0,00;0,00;1640,00
0,00;415,00;0,00;0,00;0,00;0,00;1660,00
0,00;420,00;0,00;0,00;0,00;0,00;1680,00
0,00;425,00;0,00;0,00;0,00;0,00;1700,00
0,00;430,00;0,00;0,00;0,00;0,00;1720,00
0,00;435,00;0,00;0,00;0,00;0,00;1740,00
0,00;440,00;0,00;0,00;0,00;0,00;1760,00
0,00;445,00;0,00;0,00;0,00;0,00;1780,00
0,00;450,00;0,00;0,00;0,00;0,00;1800,00
0,00;455,00;0,00;0,00;0,00;0,00;1820,00
0,00;460,00;0,00;0,00;0,00;0,00;1840,00
0,00;465,00;0,00;0,00;0,00;0,00;1860,00
0,00;470,00;0,00;0,00;0,00;0,00;1880,00
0,00;475,00;0,00;0,00;0,00;0,00;1900,00
0,00;480,00;0,00;0,00;0,00;0,00;1920,00
0,00;485,00;0,00;0,00;0,00;0,00;1940,00
0,00;490,00;0,00;0,00;0,00;0,00;1960,00
0,00;495,00;0,00;0,00;0,00;0,00;1980,00
0,00;500,00;0,00;0,00;0,00;0,00;2000,00
